Country,Country Code,Net migration,Total poblation,PBI per capita,Remesas,Homicidios
Aruba,ABW,1004.0,106537.0,29342.1,111331648.75,0.0
Angola,AGO,32066.0,34503774.0,1953.53,445400143.82,0.0
Albania,ALB,-69998.0,2811666.0,6492.87,140344309.7,2.12
Argentina,ARG,24000.0,45808747.0,10636.12,588682523.66,5.35
Armenia,ARM,-24989.0,2790974.0,4966.51,352775607.72,1.75
Australia,AUS,791229.0,25688079.0,60443.11,3812231755.62,0.87
Austria,AUT,324998.0,8955797.0,53637.71,7147085508.37,0.72
Burundi,BDI,10003.0,12551213.0,221.48,0.0,0.0
Benin,BEN,-10000.0,12996895.0,1319.15,100184328.66,0.0
Burkina Faso,BFA,-125000.0,22100683.0,893.08,0.0,0.0
Bangladesh,BGD,-1847503.0,169356251.0,2457.92,100464837.02,0.0
Bulgaria,BGR,-24001.0,6877743.0,12221.5,157230000.0,0.99
Bahamas,BHS,4999.0,407906.0,27478.39,246134328.02,18.56
Bolivia,BOL,-47520.0,12079472.0,3345.2,293731382.46,0.0
Barbados,BRB,-397.0,281200.0,17225.46,0.0,14.27
Botswana,BWA,14999.0,2588423.0,6805.22,236646583.77,0.0
Chile,CHL,558539.0,19493184.0,16265.1,761871993.44,4.84
China,CHN,-1741996.0,1412360000.0,12556.33,22903473456.37,0.0
Colombia,COL,1023981.0,51516562.0,6104.14,385718084.43,22.64
Costa Rica,CRI,21000.0,5153957.0,12472.44,541463307.52,11.19
Cuba,CUB,-72000.0,11256372.0,0.0,0.0,0.0
Curacao,CUW,2573.0,152369.0,17717.6,118446528.03,0.0
Djibouti,DJI,4501.0,1105557.0,3150.44,1130986.21,0.0
Ecuador,ECU,182000.0,17797737.0,5965.13,603966053.49,7.78
Eritrea,ERI,-199290.0,3620312.0,0.0,0.0,0.0
Estonia,EST,19555.0,1330932.0,27943.7,257539985.68,3.17
Fiji,FJI,-31008.0,924610.0,4646.61,12191943.49,2.23
Georgia,GEO,-50000.0,3708610.0,5023.27,106326823.78,0.0
Ghana,GHA,-50000.0,32833031.0,2363.3,812831957.04,0.0
Guinea,GIN,-20000.0,13531906.0,1189.18,43550000.0,0.0
Gambia,GMB,-15436.0,2639916.0,772.15,26836811.34,0.0
Guinea-Bissau,GNB,-6996.0,2060721.0,795.12,0.0,0.0
Guatemala,GTM,-46073.0,17109746.0,5025.54,19967930.0,17.47
Guam,GUM,-2532.0,170534.0,35904.86,0.0,0.0
Guyana,GUY,-30001.0,804567.0,9998.54,196704925.74,19.96
Honduras,HND,-34000.0,10278345.0,2771.72,343863185.27,36.33
Indonesia,IDN,-494777.0,273753191.0,4332.71,4343383214.33,0.0
India,IND,-2663434.0,1407563842.0,2256.59,8181397793.02,2.95
Iraq,IRQ,39171.0,43533592.0,4775.38,852400000.0,0.0
Israel,ISR,50002.0,9364000.0,52170.71,6809100000.0,0.0
Jamaica,JAM,-56658.0,2827695.0,5183.58,346664665.4,44.95
Kenya,KEN,-50000.0,53005614.0,2081.8,8973960.16,3.46
Kiribati,KIR,-3999.0,128874.0,1606.46,1198951.33,0.0
Kuwait,KWT,197600.0,4250114.0,0.0,18468103779.78,0.0
Liberia,LBR,-25000.0,5193416.0,675.66,0.0,0.0
Sri Lanka,LKA,-489932.0,22156000.0,4013.69,0.0,0.0
Lesotho,LSO,-50234.0,2281454.0,1094.1,0.0,0.0
Madagascar,MDG,-7500.0,28915653.0,500.51,54091502.49,0.0
Malta,MLT,4501.0,518536.0,33486.67,465137567.5,1.59
Myanmar,MMR,-816564.0,53798084.0,1209.93,0.0,0.01
Montenegro,MNE,-2400.0,619211.0,9465.7,103808013.88,2.87
Mongolia,MNG,-4262.0,3347782.0,4566.14,143896890.29,5.98
Mozambique,MOZ,-25000.0,32077072.0,491.84,221102203.21,0.0
Mauritania,MRT,25002.0,4614974.0,2166.05,22383067.18,0.0
Malawi,MWI,-80263.0,19889742.0,634.84,36397655.93,0.0
Namibia,NAM,-24030.0,2530151.0,4865.56,89573871.3,11.92
Nigeria,NGA,-300000.0,213401323.0,2065.75,82545294.22,0.0
Nicaragua,NIC,-106360.0,6850540.0,2045.54,1200000.0,0.0
Nepal,NPL,208549.0,30034989.0,1208.22,44025033.93,0.0
Puerto Rico,PRI,-489932.0,3263584.0,32640.71,0.0,18.49
Portugal,PRT,-30001.0,10325147.0,24567.51,321530896.25,0.91
Paraguay,PRY,-82780.0,6703799.0,5891.5,65039100.46,6.74
Qatar,QAT,200000.0,2688235.0,66838.36,10966208791.21,0.42
Rwanda,RWA,-44998.0,13461888.0,822.35,73393716.75,0.0
Senegal,SEN,-100001.0,16876720.0,1636.89,0.0,0.0
El Salvador,SLV,-202694.0,6314167.0,4551.18,262174225.59,0.0
Somalia,SOM,-200002.0,17065581.0,446.98,0.0,0.0
Serbia,SRB,20000.0,6834326.0,9230.18,470794123.05,1.02
Suriname,SUR,-4999.0,612985.0,4869.13,105345911.52,9.38
Eswatini,SWZ,-41764.0,1192271.0,3978.4,40599677.08,0.0
Seychelles,SYC,-1000.0,99258.0,14653.31,48905267.24,0.0
Chad,TCD,10000.0,17179740.0,685.69,0.0,0.0
Togo,TGO,-9999.0,8644829.0,973.21,0.0,0.0
Timor-Leste,TLS,-26924.0,1320942.0,2741.39,319030377.01,0.0
Tonga,TON,-3999.0,106017.0,4426.0,31130549.45,0.0
Uganda,UGA,843469.0,45853778.0,883.89,212839609.87,9.75
Uruguay,URY,-15000.0,3426260.0,17313.19,117747674.76,9.7
Venezuela,VEN,-3266243.0,28199867.0,0.0,0.0,0.0
Vanuatu,VUT,600.0,319137.0,2996.62,9703252.68,0.33
Samoa,WSM,-14013.0,218764.0,3857.32,25873304.38,0.0
Zambia,ZMB,-40000.0,19473125.0,1137.34,106780374.45,0.0
Zimbabwe,ZWE,-584288.0,15993524.0,1773.92,0.0,0.0
