Country Name,Country Code,Year,Value
Belgium,BEL,1960,
Belgium,BEL,1961,
Belgium,BEL,1962,
Belgium,BEL,1963,
Belgium,BEL,1964,
Belgium,BEL,1965,
Belgium,BEL,1966,
Belgium,BEL,1967,
Belgium,BEL,1968,
Belgium,BEL,1969,
Belgium,BEL,1970,
Belgium,BEL,1971,
Belgium,BEL,1972,
Belgium,BEL,1973,
Belgium,BEL,1974,
Belgium,BEL,1975,580808349.6
Belgium,BEL,1976,663999267.6
Belgium,BEL,1977,713931457.5
Belgium,BEL,1978,987577941.9
Belgium,BEL,1979,1130499146.0
Belgium,BEL,1980,1280031494.0
Belgium,BEL,1981,1187483032.0
Belgium,BEL,1982,994580749.5
Belgium,BEL,1983,892699218.8
Belgium,BEL,1984,793433410.6
Belgium,BEL,1985,779245666.5
Belgium,BEL,1986,986456298.8
Belgium,BEL,1987,1276381836.0
Belgium,BEL,1988,1380126343.0
Belgium,BEL,1989,1508718384.0
Belgium,BEL,1990,2309630859.0
Belgium,BEL,1991,2432428223.0
Belgium,BEL,1992,2896886230.0
Belgium,BEL,1993,3029477295.0
Belgium,BEL,1994,3659792236.0
Belgium,BEL,1995,3251686279.0
Belgium,BEL,1996,3418260742.0
Belgium,BEL,1997,3125033203.0
Belgium,BEL,1998,3347351807.0
Belgium,BEL,1999,3653230957.0
Belgium,BEL,2000,3587770752.0
Belgium,BEL,2001,3905530518.0
Belgium,BEL,2002,1628741741.3897
Belgium,BEL,2003,2097327653.9190102
Belgium,BEL,2004,2342483500.50505
Belgium,BEL,2005,2426083650.54625
Belgium,BEL,2006,2564697223.16673
Belgium,BEL,2007,3201618745.39467
Belgium,BEL,2008,4123817770.53245
Belgium,BEL,2009,4291702746.26141
Belgium,BEL,2010,4142285273.16016
Belgium,BEL,2011,4504366770.99565
Belgium,BEL,2012,4303018197.844271
Belgium,BEL,2013,4548072301.03075
Belgium,BEL,2014,5251309838.208489
Belgium,BEL,2015,4441158754.04115
Belgium,BEL,2016,4564818715.74936
Belgium,BEL,2017,4747435274.46293
Belgium,BEL,2018,5611363724.67034
Belgium,BEL,2019,5335509512.60816
Belgium,BEL,2020,6233671513.90017
Belgium,BEL,2021,7108094424.24242
Denmark,DNK,1960,
Denmark,DNK,1961,
Denmark,DNK,1962,
Denmark,DNK,1963,
Denmark,DNK,1964,
Denmark,DNK,1965,
Denmark,DNK,1966,
Denmark,DNK,1967,
Denmark,DNK,1968,
Denmark,DNK,1969,
Denmark,DNK,1970,
Denmark,DNK,1971,
Denmark,DNK,1972,
Denmark,DNK,1973,
Denmark,DNK,1974,
Denmark,DNK,1975,
Denmark,DNK,1976,
Denmark,DNK,1977,
Denmark,DNK,1978,
Denmark,DNK,1979,
Denmark,DNK,1980,
Denmark,DNK,1981,
Denmark,DNK,1982,
Denmark,DNK,1983,
Denmark,DNK,1984,
Denmark,DNK,1985,
Denmark,DNK,1986,
Denmark,DNK,1987,
Denmark,DNK,1988,
Denmark,DNK,1989,
Denmark,DNK,1990,
Denmark,DNK,1991,
Denmark,DNK,1992,160463688.967597
Denmark,DNK,1993,159680759.438125
Denmark,DNK,1994,199781243.551762
Denmark,DNK,1995,209079803.739517
Denmark,DNK,1996,289415405.3
Denmark,DNK,1997,369750992.170069
Denmark,DNK,1998,346425669.59885496
Denmark,DNK,1999,693794224.16738
Denmark,DNK,2000,661957528.9194889
Denmark,DNK,2001,744817219.691741
Denmark,DNK,2002,860117577.7740481
Denmark,DNK,2003,1029285318.1191801
Denmark,DNK,2004,1226177451.26224
Denmark,DNK,2005,1511602740.9765198
Denmark,DNK,2006,1775307874.5045302
Denmark,DNK,2007,3053890214.58064
Denmark,DNK,2008,4024581053.37385
Denmark,DNK,2009,3390969583.92641
Denmark,DNK,2010,2833342704.0011
Denmark,DNK,2011,3148221907.6942897
Denmark,DNK,2012,2979397706.78695
Denmark,DNK,2013,3058995226.4407897
Denmark,DNK,2014,3171598140.13358
Denmark,DNK,2015,2781262009.25143
Denmark,DNK,2016,2914430190.47191
Denmark,DNK,2017,3140591942.30792
Denmark,DNK,2018,3392801094.09194
Denmark,DNK,2019,3363422949.2311897
Denmark,DNK,2020,3386838621.7027197
Denmark,DNK,2021,3647022987.43355
Germany,DEU,1960,
Germany,DEU,1961,
Germany,DEU,1962,
Germany,DEU,1963,
Germany,DEU,1964,
Germany,DEU,1965,
Germany,DEU,1966,
Germany,DEU,1967,
Germany,DEU,1968,
Germany,DEU,1969,
Germany,DEU,1970,
Germany,DEU,1971,2237634277.0
Germany,DEU,1972,2722813721.0
Germany,DEU,1973,3690343262.0
Germany,DEU,1974,4016875000.0
Germany,DEU,1975,4095520996.0
Germany,DEU,1976,4173704102.0
Germany,DEU,1977,4255071289.0
Germany,DEU,1978,5183325684.0
Germany,DEU,1979,5725612305.0
Germany,DEU,1980,5818916016.0
Germany,DEU,1981,4791845703.0
Germany,DEU,1982,4480540527.0
Germany,DEU,1983,4289452148.0
Germany,DEU,1984,4038365234.0
Germany,DEU,1985,3598019287.0
Germany,DEU,1986,4636389160.0
Germany,DEU,1987,5534590820.0
Germany,DEU,1988,5871227051.0
Germany,DEU,1989,5482565430.0
Germany,DEU,1990,6542014537.01934
Germany,DEU,1991,6600992157.63076
Germany,DEU,1992,8222439487.03941
Germany,DEU,1993,8176367234.094979
Germany,DEU,1994,8870751240.83108
Germany,DEU,1995,10891204294.8411
Germany,DEU,1996,10518755114.7921
Germany,DEU,1997,9473507979.141441
Germany,DEU,1998,9108082670.55018
Germany,DEU,1999,10088645451.1654
Germany,DEU,2000,8662856855.468521
Germany,DEU,2001,9184539370.74823
Germany,DEU,2002,10126521386.5748
Germany,DEU,2003,11566286326.8232
Germany,DEU,2004,12607398368.3622
Germany,DEU,2005,12705661655.8716
Germany,DEU,2006,12705044233.7902
Germany,DEU,2007,14079161786.5639
Germany,DEU,2008,15236463878.8765
Germany,DEU,2009,15336343939.8166
Germany,DEU,2010,14682106066.3781
Germany,DEU,2011,16125581285.633001
Germany,DEU,2012,15581428609.4726
Germany,DEU,2013,19976705774.6346
Germany,DEU,2014,20084390151.7533
Germany,DEU,2015,18248805576.3986
Germany,DEU,2016,19348107339.6236
Germany,DEU,2017,21699115805.257
Germany,DEU,2018,18075495506.5018
Germany,DEU,2019,17772723434.8483
Germany,DEU,2020,15680230871.8354
Germany,DEU,2021,17325982789.8269
Morocco,MAR,1960,
Morocco,MAR,1961,
Morocco,MAR,1962,
Morocco,MAR,1963,
Morocco,MAR,1964,
Morocco,MAR,1965,
Morocco,MAR,1966,
Morocco,MAR,1967,
Morocco,MAR,1968,
Morocco,MAR,1969,
Morocco,MAR,1970,
Morocco,MAR,1971,
Morocco,MAR,1972,
Morocco,MAR,1973,
Morocco,MAR,1974,
Morocco,MAR,1975,53300598.14
Morocco,MAR,1976,57701282.5
Morocco,MAR,1977,61287765.5
Morocco,MAR,1978,75359924.32
Morocco,MAR,1979,81813034.06
Morocco,MAR,1980,77477127.08
Morocco,MAR,1981,59161350.25
Morocco,MAR,1982,46322258.0
Morocco,MAR,1983,37967617.03
Morocco,MAR,1984,30758628.85
Morocco,MAR,1985,21167715.07
Morocco,MAR,1986,18782041.55
Morocco,MAR,1987,24045291.9
Morocco,MAR,1988,20830415.73
Morocco,MAR,1989,14255133.63
Morocco,MAR,1990,11404526.019608099
Morocco,MAR,1991,17343264.5536981
Morocco,MAR,1992,22605156.4352957
Morocco,MAR,1993,13980435.098025698
Morocco,MAR,1994,13039630.1526234
Morocco,MAR,1995,14753690.935349898
Morocco,MAR,1996,14112179.0112698
Morocco,MAR,1997,14904839.9444112
Morocco,MAR,1998,21760823.732208602
Morocco,MAR,1999,19685000.8877799
Morocco,MAR,2000,23198610.9945385
Morocco,MAR,2001,26568226.5067383
Morocco,MAR,2002,30315999.606796503
Morocco,MAR,2003,34149629.3549797
Morocco,MAR,2004,33536406.458840504
Morocco,MAR,2005,35071215.0530149
Morocco,MAR,2006,37889226.543682106
Morocco,MAR,2007,48909774.098901
Morocco,MAR,2008,54396669.3164239
Morocco,MAR,2009,60109315.8137111
Morocco,MAR,2010,62034092.00403871
Morocco,MAR,2011,70930587.40313171
Morocco,MAR,2012,64152932.1849944
Morocco,MAR,2013,63305944.1150824
Morocco,MAR,2014,100200862.561646
Morocco,MAR,2015,78799239.09782399
Morocco,MAR,2016,106698413.017656
Morocco,MAR,2017,111635972.47416201
Morocco,MAR,2018,138278344.99178502
Morocco,MAR,2019,136433736.536389
Morocco,MAR,2020,152346535.226772
Morocco,MAR,2021,175386318.621067
Poland,POL,1960,
Poland,POL,1961,
Poland,POL,1962,
Poland,POL,1963,
Poland,POL,1964,
Poland,POL,1965,
Poland,POL,1966,
Poland,POL,1967,
Poland,POL,1968,
Poland,POL,1969,
Poland,POL,1970,
Poland,POL,1971,
Poland,POL,1972,
Poland,POL,1973,
Poland,POL,1974,
Poland,POL,1975,
Poland,POL,1976,
Poland,POL,1977,
Poland,POL,1978,
Poland,POL,1979,
Poland,POL,1980,
Poland,POL,1981,
Poland,POL,1982,
Poland,POL,1983,
Poland,POL,1984,
Poland,POL,1985,
Poland,POL,1986,
Poland,POL,1987,
Poland,POL,1988,
Poland,POL,1989,
Poland,POL,1990,
Poland,POL,1991,
Poland,POL,1992,
Poland,POL,1993,
Poland,POL,1994,155000000.0
Poland,POL,1995,262000000.0
Poland,POL,1996,243000000.0
Poland,POL,1997,181000000.0
Poland,POL,1998,176000000.0
Poland,POL,1999,191000000.0
Poland,POL,2000,311000000.0
Poland,POL,2001,345000000.0
Poland,POL,2002,353000000.0
Poland,POL,2003,325000000.0
Poland,POL,2004,552000000.0
Poland,POL,2005,622000000.0
Poland,POL,2006,693000000.0
Poland,POL,2007,1018000000.0
Poland,POL,2008,1474000000.0
Poland,POL,2009,1155000000.0
Poland,POL,2010,1326000000.0
Poland,POL,2011,1416000000.0
Poland,POL,2012,1538000000.0
Poland,POL,2013,1579000000.0
Poland,POL,2014,2183000000.0
Poland,POL,2015,2574000000.0
Poland,POL,2016,3732000000.0
Poland,POL,2017,6345000000.0
Poland,POL,2018,7501000000.0
Poland,POL,2019,8008000000.0
Poland,POL,2020,7915000000.0
Poland,POL,2021,9419000000.0
Romania,ROU,1960,
Romania,ROU,1961,
Romania,ROU,1962,
Romania,ROU,1963,
Romania,ROU,1964,
Romania,ROU,1965,
Romania,ROU,1966,
Romania,ROU,1967,
Romania,ROU,1968,
Romania,ROU,1969,
Romania,ROU,1970,
Romania,ROU,1971,
Romania,ROU,1972,
Romania,ROU,1973,
Romania,ROU,1974,
Romania,ROU,1975,
Romania,ROU,1976,
Romania,ROU,1977,
Romania,ROU,1978,
Romania,ROU,1979,
Romania,ROU,1980,
Romania,ROU,1981,
Romania,ROU,1982,
Romania,ROU,1983,
Romania,ROU,1984,
Romania,ROU,1985,
Romania,ROU,1986,
Romania,ROU,1987,
Romania,ROU,1988,
Romania,ROU,1989,
Romania,ROU,1990,
Romania,ROU,1991,
Romania,ROU,1992,
Romania,ROU,1993,
Romania,ROU,1994,5000000.0
Romania,ROU,1995,2000000.0
Romania,ROU,1996,2000000.0
Romania,ROU,1997,1000000.0
Romania,ROU,1998,6000000.0
Romania,ROU,1999,8000000.0
Romania,ROU,2000,6000000.0
Romania,ROU,2001,5000000.0
Romania,ROU,2002,6000000.0
Romania,ROU,2003,8000000.0
Romania,ROU,2004,6000000.0
Romania,ROU,2005,22267034.4714496
Romania,ROU,2006,40736418.735505
Romania,ROU,2007,55020476.3111138
Romania,ROU,2008,168496822.84998402
Romania,ROU,2009,64407171.89482321
Romania,ROU,2010,88241416.55076759
Romania,ROU,2011,127765726.43552199
Romania,ROU,2012,116346227.624823
Romania,ROU,2013,484520900.21339005
Romania,ROU,2014,592768806.76975
Romania,ROU,2015,514289660.24303496
Romania,ROU,2016,302507609.917677
Romania,ROU,2017,389122476.25084597
Romania,ROU,2018,435256485.932014
Romania,ROU,2019,485742404.266329
Romania,ROU,2020,536805624.619408
Romania,ROU,2021,642167674.33919
Spain,ESP,1960,
Spain,ESP,1961,
Spain,ESP,1962,
Spain,ESP,1963,
Spain,ESP,1964,
Spain,ESP,1965,
Spain,ESP,1966,
Spain,ESP,1967,
Spain,ESP,1968,
Spain,ESP,1969,
Spain,ESP,1970,
Spain,ESP,1971,
Spain,ESP,1972,
Spain,ESP,1973,
Spain,ESP,1974,
Spain,ESP,1975,1717612.9819999998
Spain,ESP,1976,2945085.0489999996
Spain,ESP,1977,2655160.1890000002
Spain,ESP,1978,1246556.4009999998
Spain,ESP,1979,7489693.642000001
Spain,ESP,1980,11255760.19
Spain,ESP,1981,11797623.63
Spain,ESP,1982,16502719.88
Spain,ESP,1983,15740970.61
Spain,ESP,1984,23020278.93
Spain,ESP,1985,130917480.5
Spain,ESP,1986,128680984.5
Spain,ESP,1987,129935958.9
Spain,ESP,1988,162415481.6
Spain,ESP,1989,246620330.8
Spain,ESP,1990,158846364.984543
Spain,ESP,1991,207192768.823867
Spain,ESP,1992,392980838.618641
Spain,ESP,1993,498084557.863139
Spain,ESP,1994,490554745.242545
Spain,ESP,1995,645759195.858655
Spain,ESP,1996,754788474.4864019
Spain,ESP,1997,833185834.774309
Spain,ESP,1998,1017174927.70668
Spain,ESP,1999,549865012.5765929
Spain,ESP,2000,621628224.465715
Spain,ESP,2001,573849904.534938
Spain,ESP,2002,533009750.921658
Spain,ESP,2003,539217663.9088889
Spain,ESP,2004,704875626.479077
Spain,ESP,2005,732686895.931947
Spain,ESP,2006,794233195.9167349
Spain,ESP,2007,897282075.7731
Spain,ESP,2008,748880878.826067
Spain,ESP,2009,557286247.56766
Spain,ESP,2010,470665747.330446
Spain,ESP,2011,496948975.757572
Spain,ESP,2012,407460971.777293
Spain,ESP,2013,353454937.676884
Spain,ESP,2014,402801005.256774
Spain,ESP,2015,368030578.550162
Spain,ESP,2016,304127565.35778
Spain,ESP,2017,362587684.76072204
Spain,ESP,2018,439830631.86813205
Spain,ESP,2019,448985346.915579
Spain,ESP,2020,351704128.385335
Spain,ESP,2021,260765690.90909198
Sweden,SWE,1960,
Sweden,SWE,1961,
Sweden,SWE,1962,
Sweden,SWE,1963,
Sweden,SWE,1964,
Sweden,SWE,1965,
Sweden,SWE,1966,
Sweden,SWE,1967,
Sweden,SWE,1968,
Sweden,SWE,1969,
Sweden,SWE,1970,25129465.1
Sweden,SWE,1971,27312248.23
Sweden,SWE,1972,31496614.46
Sweden,SWE,1973,45795410.16
Sweden,SWE,1974,38293247.22
Sweden,SWE,1975,52878990.17
Sweden,SWE,1976,75855484.01
Sweden,SWE,1977,102375618.0
Sweden,SWE,1978,68632919.31
Sweden,SWE,1979,74751640.32
Sweden,SWE,1980,82767341.61
Sweden,SWE,1981,80939064.03
Sweden,SWE,1982,137167846.7
Sweden,SWE,1983,238071670.5
Sweden,SWE,1984,235559921.3
Sweden,SWE,1985,290195282.0
Sweden,SWE,1986,337915771.5
Sweden,SWE,1987,367125274.7
Sweden,SWE,1988,485333740.2
Sweden,SWE,1989,554538879.4
Sweden,SWE,1990,262490658.877334
Sweden,SWE,1991,359942396.634235
Sweden,SWE,1992,319111607.623451
Sweden,SWE,1993,245369933.46389398
Sweden,SWE,1994,216302062.981028
Sweden,SWE,1995,317286477.589244
Sweden,SWE,1996,406091303.438062
Sweden,SWE,1997,384313304.855717
Sweden,SWE,1998,503213026.82975596
Sweden,SWE,1999,484308456.154132
Sweden,SWE,2000,538812671.448013
Sweden,SWE,2001,578107476.292755
Sweden,SWE,2002,507652303.04878604
Sweden,SWE,2003,567717314.725032
Sweden,SWE,2004,660148512.929358
Sweden,SWE,2005,728975390.251142
Sweden,SWE,2006,930169752.5267019
Sweden,SWE,2007,1055652089.8489599
Sweden,SWE,2008,1205758488.9788198
Sweden,SWE,2009,1071467575.3341801
Sweden,SWE,2010,1160032062.1926699
Sweden,SWE,2011,1389946209.94135
Sweden,SWE,2012,1386645912.71772
Sweden,SWE,2013,1623582595.10772
Sweden,SWE,2014,1590873485.9853199
Sweden,SWE,2015,2121707278.84937
Sweden,SWE,2016,2444276107.2028103
Sweden,SWE,2017,3087838614.2480803
Sweden,SWE,2018,3154643882.97565
Sweden,SWE,2019,2859573367.41195
Sweden,SWE,2020,2658698341.39467
Sweden,SWE,2021,3264435161.88292
Syrian Arab Republic,SYR,1960,
Syrian Arab Republic,SYR,1961,
Syrian Arab Republic,SYR,1962,
Syrian Arab Republic,SYR,1963,
Syrian Arab Republic,SYR,1964,
Syrian Arab Republic,SYR,1965,
Syrian Arab Republic,SYR,1966,
Syrian Arab Republic,SYR,1967,
Syrian Arab Republic,SYR,1968,
Syrian Arab Republic,SYR,1969,
Syrian Arab Republic,SYR,1970,
Syrian Arab Republic,SYR,1971,
Syrian Arab Republic,SYR,1972,
Syrian Arab Republic,SYR,1973,
Syrian Arab Republic,SYR,1974,
Syrian Arab Republic,SYR,1975,
Syrian Arab Republic,SYR,1976,
Syrian Arab Republic,SYR,1977,
Syrian Arab Republic,SYR,1978,
Syrian Arab Republic,SYR,1979,
Syrian Arab Republic,SYR,1980,
Syrian Arab Republic,SYR,1981,
Syrian Arab Republic,SYR,1982,
Syrian Arab Republic,SYR,1983,
Syrian Arab Republic,SYR,1984,
Syrian Arab Republic,SYR,1985,
Syrian Arab Republic,SYR,1986,
Syrian Arab Republic,SYR,1987,
Syrian Arab Republic,SYR,1988,
Syrian Arab Republic,SYR,1989,
Syrian Arab Republic,SYR,1990,
Syrian Arab Republic,SYR,1991,
Syrian Arab Republic,SYR,1992,
Syrian Arab Republic,SYR,1993,12000000.0
Syrian Arab Republic,SYR,1994,11000000.0
Syrian Arab Republic,SYR,1995,15000000.0
Syrian Arab Republic,SYR,1996,20000000.0
Syrian Arab Republic,SYR,1997,25000000.0
Syrian Arab Republic,SYR,1998,29000000.0
Syrian Arab Republic,SYR,1999,28000000.0
Syrian Arab Republic,SYR,2000,29000000.0
Syrian Arab Republic,SYR,2001,30000000.0
Syrian Arab Republic,SYR,2002,35000000.0
Syrian Arab Republic,SYR,2003,40000000.0
Syrian Arab Republic,SYR,2004,42000000.0
Syrian Arab Republic,SYR,2005,40000000.0
Syrian Arab Republic,SYR,2006,235000000.0
Syrian Arab Republic,SYR,2007,249578160.0
Syrian Arab Republic,SYR,2008,209974280.0
Syrian Arab Republic,SYR,2009,211257375.0
Syrian Arab Republic,SYR,2010,530185085.525062
Syrian Arab Republic,SYR,2011,
Syrian Arab Republic,SYR,2012,
Syrian Arab Republic,SYR,2013,
Syrian Arab Republic,SYR,2014,
Syrian Arab Republic,SYR,2015,
Syrian Arab Republic,SYR,2016,
Syrian Arab Republic,SYR,2017,
Syrian Arab Republic,SYR,2018,
Syrian Arab Republic,SYR,2019,
Syrian Arab Republic,SYR,2020,
Syrian Arab Republic,SYR,2021,
Turkiye,TUR,1960,
Turkiye,TUR,1961,
Turkiye,TUR,1962,
Turkiye,TUR,1963,
Turkiye,TUR,1964,
Turkiye,TUR,1965,
Turkiye,TUR,1966,
Turkiye,TUR,1967,
Turkiye,TUR,1968,
Turkiye,TUR,1969,
Turkiye,TUR,1970,
Turkiye,TUR,1971,
Turkiye,TUR,1972,
Turkiye,TUR,1973,
Turkiye,TUR,1974,
Turkiye,TUR,1975,
Turkiye,TUR,1976,
Turkiye,TUR,1977,
Turkiye,TUR,1978,
Turkiye,TUR,1979,
Turkiye,TUR,1980,
Turkiye,TUR,1981,
Turkiye,TUR,1982,
Turkiye,TUR,1983,
Turkiye,TUR,1984,
Turkiye,TUR,1985,
Turkiye,TUR,1986,
Turkiye,TUR,1987,
Turkiye,TUR,1988,
Turkiye,TUR,1989,
Turkiye,TUR,1990,
Turkiye,TUR,1991,
Turkiye,TUR,1992,
Turkiye,TUR,1993,
Turkiye,TUR,1994,
Turkiye,TUR,1995,
Turkiye,TUR,1996,
Turkiye,TUR,1997,
Turkiye,TUR,1998,
Turkiye,TUR,1999,
Turkiye,TUR,2000,
Turkiye,TUR,2001,
Turkiye,TUR,2002,
Turkiye,TUR,2003,
Turkiye,TUR,2004,
Turkiye,TUR,2005,108000000.0
Turkiye,TUR,2006,124000000.0
Turkiye,TUR,2007,124000000.0
Turkiye,TUR,2008,126000000.0
Turkiye,TUR,2009,157000000.0
Turkiye,TUR,2010,190000000.0
Turkiye,TUR,2011,268000000.0
Turkiye,TUR,2012,404000000.0
Turkiye,TUR,2013,689000000.0
Turkiye,TUR,2014,815000000.0
Turkiye,TUR,2015,850000000.0
Turkiye,TUR,2016,1108000000.0
Turkiye,TUR,2017,631000000.0
Turkiye,TUR,2018,627000000.0
Turkiye,TUR,2019,678000000.0
Turkiye,TUR,2020,521000000.0
Turkiye,TUR,2021,631000000.0
